Map Name,Personal Best,Rank,Bonus,Date,Start Speed
surf_classics3,00:03.2578,19,6,2021-03-05 22:16:20,-1 u/s
surf_classics3,00:08.8125,107,7,2019-12-06 05:01:33,495 u/s
surf_classics3,00:13.9336,12,8,2019-08-07 19:56:56,-1 u/s
surf_classics3,00:20.8945,1,9,2021-12-05 02:05:28,0 u/s
surf_classics3,00:24.1758,7,11,2018-10-15 14:01:50,9 u/s
surf_color_njv,00:15.7617,5,1,2019-04-20 22:50:35,605 u/s
surf_colum_2,00:19.4180,12,1,2021-03-06 03:47:07,600 u/s
surf_commune_too_beta5,00:11.5078,35,1,2018-09-27 21:23:22,482 u/s
surf_commune_too_beta5,00:04.6172,22,2,2018-09-27 21:31:35,479 u/s
surf_concreteideas,00:22.6992,22,1,2020-11-20 08:51:17,497 u/s
surf_construction,00:07.3242,18,1,2018-09-16 15:12:23,468 u/s
surf_coralis_ksf-,00:13.5586,18,1,2021-01-09 12:45:26,507 u/s
surf_coralis_ksf-,00:15.8789,30,2,2017-12-04 07:13:38,496 u/s
surf_core_fix,00:16.0781,6,3,2018-10-27 23:40:46,-1 u/s
surf_corruption,00:27.7500,4,5,2020-03-01 02:35:07,371 u/s
surf_cosmo_go,00:11.6719,13,1,2022-03-24 12:32:35,496 u/s
surf_crackdesert_evo2,00:09.2461,30,1,2022-08-12 15:44:52,496 u/s
surf_crackdesert_evo2,00:15.4102,9,2,2020-12-27 13:33:16,512 u/s
surf_crimson,00:20.2383,6,1,2022-02-02 10:43:55,515 u/s
surf_crownroyal,00:12.9375,125,1,2018-05-21 17:11:43,470 u/s
surf_crownroyal,00:13.6875,8,2,2020-12-22 09:01:26,505 u/s
surf_crownroyal,00:13.5117,135,3,2018-05-21 17:14:12,462 u/s
surf_crystal,00:05.5781,2,1,2020-10-30 15:08:29,495 u/s
surf_cyberwave,00:13.6992,24,1,2023-04-16 13:11:35,405 u/s
surf_cyka_ksf,00:15.7969,1,2,2021-12-30 04:17:10,495 u/s
surf_death_of_a_martian,00:06.7383,32,1,2018-12-18 16:17:36,498 u/s
surf_deceptive_final,00:15.0469,18,1,2019-03-22 00:15:59,458 u/s
surf_decked,00:14.7656,12,1,2018-12-22 01:10:14,493 u/s
surf_delight_go,00:21.0000,10,1,2018-09-08 20:08:31,476 u/s
surf_delight_go,00:17.4727,4,2,2018-09-08 16:46:20,510 u/s
surf_delight_go,00:21.4336,8,3,2018-09-13 18:02:15,487 u/s
surf_depths,00:12.8203,39,1,2017-11-22 14:17:51,481 u/s
surf_desolate,00:19.3008,18,1,2018-12-25 16:08:52,487 u/s
surf_desolate,00:22.2305,54,3,2018-12-25 16:13:30,487 u/s
surf_devs,00:20.9063,20,1,2023-01-24 16:57:38,499 u/s
surf_devs,00:15.9727,1,2,2023-01-24 17:21:29,499 u/s
surf_dhyana_csgo,00:12.9258,7,1,2022-04-23 17:26:26,472 u/s
surf_dhyana_csgo,00:12.9609,7,2,2020-08-19 09:40:07,497 u/s
surf_diamond_beta1,00:11.9297,5,1,2021-12-30 07:35:34,510 u/s
surf_diminsion_,00:12.4453,5,1,2018-07-22 17:49:31,385 u/s
surf_diminsion_,00:06.1406,11,2,2018-07-22 17:21:40,-1 u/s
surf_diverge,00:15.5508,15,1,2020-09-21 09:21:54,511 u/s
surf_dojo_,00:10.5703,36,1,2023-03-18 14:15:44,502 u/s
surf_dojo_,00:14.3906,6,4,2023-04-10 21:10:02,-1 u/s
surf_doodles_njv,00:32.7188,2,1,2020-09-20 22:25:12,513 u/s
surf_dragon,04:50.1445,2,1,2021-11-28 09:49:24,590 u/s
surf_dreams,00:08.5547,3,1,2022-07-29 17:26:36,498 u/s
surf_drifting_go,00:09.1992,38,1,2018-09-19 20:35:47,490 u/s
surf_driftless_go,00:10.1367,39,1,2018-09-19 17:53:58,481 u/s
